# x,y,<bush>,<cookie>,<shadow>,<visibility>
1831,1362,0,0,0,0
1831,1362,0,0,0,0
1831,1360,0,0,0,0
1831,1360,0,0,0,0
1832,1359,0,0,0,0
1832,1358,0,0,0,0
1832,1356,0,0,0,0
1833,1355,0,0,0,0
1835,1353,0,0,0,0
1835,1353,0,0,0,0
1835,1352,0,0,0,0
1836,1353,0,0,0,0
1837,1352,0,0,0,0
1838,1353,0,0,0,0
1839,1352,0,0,0,0
1841,1352,0,0,0,0
1841,1352,0,0,0,0
1841,1353,0,0,0,0
1842,1354,0,0,0,0
1841,1354,0,0,0,0
1842,1353,0,0,0,0
1842,1354,0,0,0,0
1843,1353,0,0,0,0
1843,1353,0,0,0,0
1843,1352,0,0,0,0
1843,1352,0,0,0,0
1845,1353,0,0,0,0
1846,1353,0,0,0,0
1846,1352,0,0,0,0
1847,1352,0,0,0,0
1847,1352,0,0,0,0
1847,1352,0,0,0,0
1847,1352,0,0,0,0
1848,1351,0,0,0,0
1848,1351,0,0,0,0
1849,1351,0,0,0,0
1849,1351,0,0,0,0
1849,1350,0,0,0,0
1849,1350,0,0,0,0
1850,1349,0,0,0,0
1850,1348,0,0,0,0
1850,1347,0,0,0,0
1851,1346,0,0,0,0
1851,1345,0,0,0,0
1851,1344,0,0,0,0
1852,1342,0,0,0,0
1852,1341,0,0,0,0
1852,1339,0,0,0,0
1851,1337,0,0,0,0
1852,1335,0,0,0,0
1852,1334,0,0,0,0
1851,1333,0,0,0,0
1851,1331,0,0,0,0
1851,1330,0,0,0,0
1850,1328,0,0,0,0
1849,1326,0,0,0,0
1849,1325,0,0,0,0
1847,1324,0,0,0,0
1848,1324,0,0,0,0
1848,1324,0,0,0,0
1848,1324,0,0,0,0
1848,1324,0,0,0,0
1848,1324,0,0,0,0
1848,1323,0,0,0,0
1848,1324,0,0,0,0
1847,1324,0,0,0,0
1848,1324,0,0,0,0
1847,1324,0,0,0,0
1846,1323,0,0,0,0
1845,1322,0,0,0,0
1844,1322,0,0,0,0
1843,1322,0,0,0,0
1842,1322,0,0,0,0
1843,1322,0,0,0,0
1843,1322,0,0,0,0
1843,1323,0,0,0,0
1843,1322,0,0,0,0
1843,1322,0,0,0,0
1842,1323,0,0,0,0
1843,1323,0,0,0,0
1843,1323,0,0,0,0
1842,1323,0,0,0,0
1840,1323,0,0,0,0
1839,1323,0,0,0,0
1837,1322,0,0,0,0
1835,1322,0,0,0,0
1833,1322,0,0,0,0
1832,1322,0,0,0,0
1832,1320,0,0,0,0
1830,1319,0,0,0,0
1829,1320,0,0,0,0
1828,1320,0,0,0,0
1829,1319,0,0,0,0
1829,1320,0,0,0,0
1828,1320,0,0,0,0
1828,1320,0,0,0,0
1828,1320,0,0,0,0
1828,1320,0,0,0,0
1828,1319,0,0,0,0
1826,1317,0,0,0,0
1826,1314,0,0,0,0
1826,1314,0,0,0,0
1826,1312,0,0,0,0
1826,1312,0,0,0,0
1826,1311,0,0,0,0
1826,1310,0,0,0,0
1825,1310,0,0,0,0
1825,1309,0,0,0,0
1823,1309,0,0,0,0
1822,1308,0,0,0,0
1820,1307,0,0,0,0
1818,1306,0,0,0,0
1816,1305,0,0,0,0
1815,1305,0,0,0,0
1815,1304,0,0,0,0
1813,1303,0,0,0,0
1813,1302,0,0,0,0
1812,1300,0,0,0,0
1811,1299,0,0,0,0
1809,1299,0,0,0,0
1808,1297,0,0,0,0
1808,1296,0,0,0,0
1807,1296,0,0,0,0
1807,1295,0,0,0,0
1807,1295,0,0,0,0
1806,1294,0,0,0,0
1806,1293,0,0,0,0
1805,1292,0,0,0,0
1804,1290,0,0,0,0
1803,1289,0,0,0,0
1801,1287,0,0,0,0
1801,1285,0,0,0,0
1800,1284,0,0,0,0
1800,1282,0,0,0,0
1799,1281,0,0,0,0
1799,1279,0,0,0,0
1798,1277,0,0,0,0
1798,1275,0,0,0,0
1798,1273,0,0,0,0
1798,1271,0,0,0,0
1798,1271,0,0,0,0
